Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1992,1992,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1993,1993,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1994,1994,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1995,1995,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1996,1996,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1997,1997,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1998,1998,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,1999,1999,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2000,2000,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2001,2001,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2002,2002,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2003,2003,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2004,2004,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2005,2005,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2006,2006,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2007,2007,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2008,2008,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2009,2009,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2010,2010,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2011,2011,3050,FAO TIER 1,ha,0.000000,E,
154,'807,North Macedonia,6727,Cropland organic soils,5026,Area,2012,2012,3050,FAO TIER 1,ha,0.000000,E,
